source_id_1,TYC_ID_1,ra_1,dec_1,mu_ra_1,mu_dec_1,mu_ra_err_1,mu_dec_err_1,plx_1,plx_err_1,source_id_2,TYC_ID_2,ra_2,dec_2,mu_ra_2,mu_dec_2,mu_ra_err_2,mu_dec_err_2,plx_2,plx_err_2,P_log_flat,P_power_law,theta
1988208634124625408,3628-1850-1,338.677460313,50.000289841,1.764,-12.874,1.088,0.691,1.985,0.368,1988208634124633984,3628-1850-2,338.677415155,50.00117749,1.716,-12.021,1.16,1.075,1.97,0.445,1.0,1.0,3.2
2002228232006419584,3983-487-1,338.746063105,52.99032866,15.992,4.503,0.698,0.643,2.197,0.313,2002228232006419712,3983-3229-1,338.742735816,52.990259688,13.225,4.78,2.233,1.066,2.738,0.428,1.0,0.9999,7.21
2285900479626512000,4608-1609-1,338.814972413,79.63264692,42.94,18.795,0.702,0.503,5.431,0.274,2285900960662846720,4608-810-1,338.924417983,79.657598292,44.341,17.258,1.2,0.66,5.188,0.239,1.0,1.0,114.39
2401548040348658432,6392-632-1,338.970831828,-20.580274543,-2.862,-23.256,1.518,2.053,3.824,0.77,2401548418305780096,6392-425-1,338.98049101,-20.559887957,-1.37,-22.732,1.195,1.613,3.42,0.618,1.0,0.9997,80.29
2624488557049300736,5239-1269-1,339.073885585,-5.619951957,5.364,16.929,0.957,1.465,4.874,0.415,2624489725280404352,5239-1058-1,339.082163472,-5.602309461,5.571,17.28,0.498,0.657,5.218,0.295,1.0,1.0,70.1
2653868985212741888,5233-1815-1,339.080829747,-0.186487044,22.543,-11.919,0.048,0.039,7.225,0.364,2653910388696951936,5233-1934-1,339.287551692,-0.278305734,24.103,-15.928,3.972,6.19,6.715,0.79,0.9998,0.9979,814.3
2653868985212741888,5233-1815-1,339.080829747,-0.186487044,22.543,-11.919,0.048,0.039,7.225,0.364,2653961412908421376,5233-1560-1,339.323288744,-0.111261706,21.13,-11.264,0.822,1.064,7.955,0.345,1.0,1.0,913.9
1881032673049267712,2228-858-1,339.107051705,27.097042661,6.701,-8.069,2.062,0.845,9.126,0.722,1881044492799265536,2228-1140-1,339.090186562,27.121741984,6.161,-7.382,0.042,0.038,9.468,0.296,1.0,1.0,104.05
6392131897434863104,9124-1342-1,339.120748603,-66.126349832,19.873,1.479,0.749,1.052,4.488,0.229,6392132172312769024,9124-1517-1,339.058926494,-66.109989361,20.342,0.817,0.509,0.628,4.448,0.246,1.0,1.0,107.65
1982051025405829120,3213-2050-1,339.173113393,44.121544042,28.479,-6.785,0.768,0.442,4.393,0.329,1982058721987200640,3213-1452-1,339.260830833,44.373497469,27.48,-7.737,0.826,0.499,4.126,0.329,0.9971,0.9686,934.81
6517704955778858112,8449-47-1,339.250953532,-47.811085421,24.842,-5.478,0.074,0.048,5.813,0.311,6517718424796516480,8449-184-1,338.66983142,-47.692444215,25.639,-8.179,0.568,1.282,6.67,0.449,0.9997,0.9921,1469.99
